run_type,metric,rbar,rbar_sd_over_steps,Lambda,K_eff,R,K,n_steps,degenerate_steps,partial_out,first_step,last_step,tasks
"seed","bits_per_byte","0.112091","0.0253221","1.70457","6.19503","10","18","20","0","none","71500","81000","arc_challenge arc_easy copycolors csqa gsm8k hellaswag humaneval mbpp minerva_math_algebra minerva_math_counting_and_probability minerva_math_geometry minerva_math_intermediate_algebra minerva_math_number_theory minerva_math_prealgebra minerva_math_precalculus piqa socialiqa winogrande"
"seed","bits_per_byte","0.0671853","0.0284013","1.46361","8.40277","10","18","20","0","loo_mean","71500","81000","arc_challenge arc_easy copycolors csqa gsm8k hellaswag humaneval mbpp minerva_math_algebra minerva_math_counting_and_probability minerva_math_geometry minerva_math_intermediate_algebra minerva_math_number_theory minerva_math_prealgebra minerva_math_precalculus piqa socialiqa winogrande"
"seed","acc_per_char","-0.00309793","0.0566936","0.989098","8.17733","10","8","20","0","none","71500","81000","arc_challenge arc_easy csqa hellaswag mmlu piqa socialiqa winogrande"
"seed","acc_per_char","0.0315146","0.0740514","1.10481","6.55414","10","8","20","0","loo_mean","71500","81000","arc_challenge arc_easy csqa hellaswag mmlu piqa socialiqa winogrande"
"data","bits_per_byte","0.0964416","0.0482108","1.62466","6.81945","9","18","20","0","none","61500","71500","arc_challenge arc_easy copycolors csqa gsm8k hellaswag humaneval mbpp minerva_math_algebra minerva_math_counting_and_probability minerva_math_geometry minerva_math_intermediate_algebra minerva_math_number_theory minerva_math_prealgebra minerva_math_precalculus piqa socialiqa winogrande"
"data","bits_per_byte","0.123906","0.0567488","1.7625","5.79448","9","18","20","0","loo_mean","61500","71500","arc_challenge arc_easy copycolors csqa gsm8k hellaswag humaneval mbpp minerva_math_algebra minerva_math_counting_and_probability minerva_math_geometry minerva_math_intermediate_algebra minerva_math_number_theory minerva_math_prealgebra minerva_math_precalculus piqa socialiqa winogrande"
"data","acc_per_char","-0.0352521","0.0280936","0.867891","10.6209","9","8","20","0","none","61500","71500","arc_challenge arc_easy csqa hellaswag mmlu piqa socialiqa winogrande"
"data","acc_per_char","0.0174818","0.0326544","1.05942","7.12776","9","8","20","0","loo_mean","61500","71500","arc_challenge arc_easy csqa hellaswag mmlu piqa socialiqa winogrande"
